9 0 9 1 9 1 10 0 9 0 9 0 9 0 11 1 10 0 11 0 11 
9 0 9 1 9 1 10 0 9 0 9 0 9 0 11 0 10 0 11 0 10 
9 0 9 1 9 0 10 0 9 0 9 0 9 0 11 0 10 0 11 0 10 
9 0 9 1 9 1 10 0 9 0 9 0 9 0 11 1 10 0 11 0 10 
9 0 9 1 9 1 10 0 9 0 9 0 9 0 11 0 10 0 11 0 10 
9 0 9 1 9 1 10 0 9 0 9 0 10 0 11 1 10 0 11 0 10 
9 0 9 1 9 0 10 0 9 0 9 0 9 0 11 1 10 0 11 0 11 
9 0 9 1 9 1 10 0 9 0 9 0 9 0 11 1 10 0 11 0 11 
9 0 9 1 9 0 10 0 9 0 9 0 9 0 11 1 10 0 11 0 11 
9 0 9 1 9 0 10 0 9 0 9 0 9 0 11 1 10 0 11 0 11 
9 0 9 1 9 1 10 0 9 0 9 0 9 0 11 0 10 0 11 0 10 
9 0 9 1 9 1 10 0 9 0 9 0 9 0 11 1 10 0 11 0 10 
